wkt,id
"MULTIPOLYGON (((-9.18280341309078 38.7544680249281, -9.18460004365902 38.7544680249281, -9.18460004365902 38.7558690877803, -9.18280341309078 38.7558690877803, -9.18280341309078 38.7544680249281)))",2411
"MULTIPOLYGON (((-9.16843036854486 38.7684774158187, -9.1702269991131 38.7684774158187, -9.1702269991131 38.7698782036363, -9.16843036854486 38.7698782036363, -9.16843036854486 38.7684774158187)))",3032
"MULTIPOLYGON (((-9.16663373797663 38.7698782036363, -9.16843036854486 38.7698782036363, -9.16843036854486 38.7712789639488, -9.16663373797663 38.7712789639488, -9.16663373797663 38.7698782036363)))",3091
"MULTIPOLYGON (((-9.16483710740839 38.7698782036363, -9.16663373797663 38.7698782036363, -9.16663373797663 38.7712789639488, -9.16483710740839 38.7712789639488, -9.16483710740839 38.7698782036363)))",3092
"MULTIPOLYGON (((-9.16304047684015 38.7698782036363, -9.16483710740839 38.7698782036363, -9.16483710740839 38.7712789639488, -9.16304047684015 38.7712789639488, -9.16304047684015 38.7698782036363)))",3093
"MULTIPOLYGON (((-9.16304047684015 38.7712789639488, -9.16483710740839 38.7712789639488, -9.16483710740839 38.7726796967559, -9.16304047684015 38.7726796967559, -9.16304047684015 38.7712789639488)))",3151
"MULTIPOLYGON (((-9.16304047684015 38.7726796967559, -9.16483710740839 38.7726796967559, -9.16483710740839 38.7740804020573, -9.16304047684015 38.7740804020573, -9.16304047684015 38.7726796967559)))",3207
"MULTIPOLYGON (((-9.16304047684015 38.7740804020573, -9.16483710740839 38.7740804020573, -9.16483710740839 38.7754810798527, -9.16304047684015 38.7754810798527, -9.16304047684015 38.7740804020573)))",3262
"MULTIPOLYGON (((-9.16304047684015 38.7754810798527, -9.16483710740839 38.7754810798527, -9.16483710740839 38.7768817301418, -9.16304047684015 38.7768817301418, -9.16304047684015 38.7754810798527)))",3317
"MULTIPOLYGON (((-9.16304047684015 38.7768817301418, -9.16483710740839 38.7768817301418, -9.16483710740839 38.7782823529244, -9.16304047684015 38.7782823529244, -9.16304047684015 38.7768817301418)))",3366
"MULTIPOLYGON (((-9.16304047684015 38.7782823529244, -9.16483710740839 38.7782823529244, -9.16483710740839 38.7796829482, -9.16304047684015 38.7796829482, -9.16304047684015 38.7782823529244)))",3414
